"New Loan? (Y=1, N=0)",Year of Data,Country,Type of Organization,Year founded,Product financed by Root Capital ,Number of suppliers,"Number of suppliers (with 5,000 member cap)",Country daily minimum wage,Total revenue (US$),Total revenue (US$) - adjusted,Volume of sales (lbs),"Fixed assets (property, plant & eqpmt (PPE)) (US$)",Total assets (US$),Total equity (US$),Total sales of product financed (US$),Export sales for product financed (US$),Export volume for product financed (lbs),% Export sales sold as certified Fairtrade,Amount of RC working capital loan (US$) approved,Amount of RC working capital loan (US$) disbursed,Total working capital debt (US$),Financing from commercial banks? (Y/N),Purchases from rural producers (US$),Purchases from rural producers (US$) - adjusted,Volume purchased from rural producers (lb),Average local price per pound at farmgate  (US$),Average price per pound paid by enterprise to rural producers (US$),Fair Trade certification? (Y/N),Utz Kapeh certification? (Y/N),Total acreage under cultivation (1 hectare = 2.4711 acres) - adjusted,Total acreage under organic cultivation,Total number of farmers certified organic,Total carbon sequestered (lbs),Purchases/Suppliers,Acreage/Suppliers,price/farmgate price
0,2008,1,2,2006,Coffee,1457,1457,4.52,58591,58591,41300,1713,5212,5212,58584,55903,38000,0,60000,20000,20000,0,46498,46498,,0.97,,0,0,4197.95,1875.56,520,6883323.18,31.91352093,2.881231367,
0,2008,1,1,1984,Coffee,727,727,4.52,1015648,1015648,727500,242095,1728459,818448,1211674,1075174,649500,0.93,500000,573000,1514693,1,638011,638011,,1.21,,1,0,5112.71,5112.71,727,18763630.65,877.5942228,7.03260784,
0,2008,0,1,1961,Coffee,940,940,11.92,2642577,2642577,1784300,251835,4271709,597684,2907649,2863549,1742300,0.96,250000,150000,905000,0,2379083,2379083,,,,1,0,5300.51,2851.65,442,10465553.3,2530.939362,5.638839894,
1,2008,0,1,2004,Coffee,163,163,11.71,695695,695695,436500,43469,87887,66182,695695,695695,436500,0.71,200000,72000,292000,1,586596,586596,420157,1.3,1.4,1,0,1551.85,876.5,87,3216751.95,3598.748466,9.520557055,1.073950196
0,2008,0,1,1965,Coffee,901,901,11.71,4743311,4743311,2483400,970934,2858625,1087563,4169951,4169951,2483400,1,500000,540800,2783293,0,3857249,3857249,2617300,1.19,1.47,1,0,4267.59,3891.98,337,14283575.78,4281.075472,4.736503552,1.238446381
0,2008,3,3,2005,Coffee,1500,1500,1.51,412100,412100,353869.83,86691,92480,62336,412104,398466,318588.2,0,245000,189000,198486,1,290537,290537,353227.6,,0.82,0,0,1112,0,0,0,193.6913333,0.74133,
1,2008,0,1,2008,Coffee,1009,1009,11.71,1479267,1479267,1240500,2994,425256,27731,1797059,1622183,1053800,0.98,400000,400000,2331903,0,1367898,1367898,1227200,1.16,1.11,1,1,4818.65,3274.21,750,12016341.53,1355.696729,4.775664024,0.960904835
1,2008,2,5,1999,Coffee,,0,6.19,654330,654330,5800000,751216,969345,239196,533600,533600,5800000,1,0,0,371391,0,,,,,,0,0,,0,0,0,,,
0,2008,2,2,1997,Coffee,650,650,6.03,3435188,3435188,889600,274970,1810769,500035,1419421,1386671,864600,1,450000,405000,749345,0,1455668,1455668,689200,0.5,2.11,1,0,3261.85,815.46,95,2992749.21,2239.489231,5.018233846,4.23099478
0,2008,2,4,1996,Coffee,100000,0,36.34,20115544,,,,,,,,,,500000,760000,,,18201929,0,,,,,0,,,,,182.01929,,
1,2008,3,3,1987,Coffee,,2708,2.86,1584603,1584603,834000,5789140,7998141,5854463,1618912,1618912,834000,0,750000,707100,2420600,1,,,,,,0,0,667.2,0,0,0,,,
